athlete_code,stage_code,result_rank,result,result_type
1897138,SWMW50MFR-------------HEAT000300--,6.0,30.52,TIME
1566573,SWMW50MFR-------------HEAT000300--,6.0,30.52,TIME
4978246,SWMW50MFR-------------HEAT000300--,8.0,31.32,TIME
4682686,SWMW50MFR-------------HEAT000400--,1.0,27.68,TIME
1908816,SWMW50MFR-------------HEAT000400--,2.0,28.52,TIME
1944821,SWMW50MFR-------------HEAT000400--,3.0,28.60,TIME
1556403,SWMW50MFR-------------HEAT000400--,4.0,28.81,TIME
1540829,SWMW50MFR-------------HEAT000400--,5.0,28.85,TIME
1542963,SWMW50MFR-------------HEAT000400--,6.0,28.86,TIME
1543884,SWMW50MFR-------------HEAT000400--,7.0,29.32,TIME
1564334,SWMW50MFR-------------HEAT000400--,8.0,29.39,TIME
1891827,SWMW50MFR-------------HEAT000500--,1.0,27.19,TIME
1938941,SWMW50MFR-------------HEAT000500--,2.0,27.20,TIME
1538234,SWMW50MFR-------------HEAT000500--,3.0,27.23,TIME
1936257,SWMW50MFR-------------HEAT000500--,4.0,27.61,TIME
1911048,SWMW50MFR-------------HEAT000500--,5.0,27.64,TIME
4846905,SWMW50MFR-------------HEAT000500--,6.0,28.18,TIME
1966448,SWMW50MFR-------------HEAT000500--,7.0,28.31,TIME
1908975,SWMW50MFR-------------HEAT000500--,8.0,28.42,TIME
1902110,SWMW50MFR-------------HEAT000600--,1.0,26.26,TIME
1564799,SWMW50MFR-------------HEAT000600--,2.0,26.62,TIME
1981397,SWMW50MFR-------------HEAT000600--,3.0,26.76,TIME
1963898,SWMW50MFR-------------HEAT000600--,4.0,26.81,TIME
1562121,SWMW50MFR-------------HEAT000600--,5.0,26.88,TIME
4670929,SWMW50MFR-------------HEAT000600--,6.0,26.90,TIME
4676165,SWMW50MFR-------------HEAT000600--,7.0,27.12,TIME
1551246,SWMW50MFR-------------HEAT000600--,8.0,27.34,TIME
1927209,SWMW50MFR-------------HEAT000700--,1.0,25.18,TIME
1968003,SWMW50MFR-------------HEAT000700--,2.0,25.43,TIME
1880416,SWMW50MFR-------------HEAT000700--,3.0,25.82,TIME
1929606,SWMW50MFR-------------HEAT000700--,4.0,26.07,TIME
1918126,SWMW50MFR-------------HEAT000700--,5.0,26.08,TIME
1908304,SWMW50MFR-------------HEAT000700--,6.0,26.27,TIME
1926078,SWMW50MFR-------------HEAT000700--,7.0,26.49,TIME
1936119,SWMW50MFR-------------HEAT000700--,7.0,26.49,TIME
1946227,SWMW50MFR-------------HEAT000800--,1.0,24.38,TIME
1945125,SWMW50MFR-------------HEAT000800--,2.0,24.54,TIME
1572544,SWMW50MFR-------------HEAT000800--,3.0,24.55,TIME
1909231,SWMW50MFR-------------HEAT000800--,4.0,24.60,TIME
1893076,SWMW50MFR-------------HEAT000800--,5.0,24.64,TIME
1925728,SWMW50MFR-------------HEAT000800--,6.0,24.67,TIME
1944073,SWMW50MFR-------------HEAT000800--,7.0,24.69,TIME
1546055,SWMW50MFR-------------HEAT000800--,8.0,25.02,TIME
1879467,SWMW50MFR-------------HEAT000900--,1.0,24.27,TIME
1946212,SWMW50MFR-------------HEAT000900--,2.0,24.50,TIME
1981469,SWMW50MFR-------------HEAT000900--,3.0,24.64,TIME
1903557,SWMW50MFR-------------HEAT000900--,4.0,24.72,TIME
1972524,SWMW50MFR-------------HEAT000900--,4.0,24.72,TIME
1972519,SWMW50MFR-------------HEAT000900--,6.0,24.87,TIME
1935945,SWMW50MFR-------------HEAT000900--,6.0,24.87,TIME
1909132,SWMW50MFR-------------HEAT000900--,8.0,25.21,TIME
1572557,SWMW50MFR-------------HEAT001000--,1.0,23.85,TIME
1935998,SWMW50MFR-------------HEAT001000--,2.0,24.37,TIME
1945206,SWMW50MFR-------------HEAT001000--,3.0,24.57,TIME
1967084,SWMW50MFR-------------HEAT001000--,3.0,24.57,TIME
1954560,SWMW50MFR-------------HEAT001000--,5.0,24.80,TIME
1879515,SWMW50MFR-------------HEAT001000--,6.0,24.94,TIME
1909233,SWMW50MFR-------------HEAT001000--,7.0,25.05,TIME
1927686,SWMW50MFR-------------HEAT001000--,8.0,25.24,TIME
1879467,SWMW50MFR-------------SFNL000100--,1.0,24.23,TIME
1945125,SWMW50MFR-------------SFNL000100--,2.0,24.24,TIME
1946227,SWMW50MFR-------------SFNL000100--,3.0,24.29,TIME
1945206,SWMW50MFR-------------SFNL000100--,4.0,24.40,TIME
1981469,SWMW50MFR-------------SFNL000100--,4.0,24.40,TIME
1909231,SWMW50MFR-------------SFNL000100--,6.0,24.66,TIME
1972524,SWMW50MFR-------------SFNL000100--,7.0,24.67,TIME
1944073,SWMW50MFR-------------SFNL000100--,8.0,24.82,TIME
1572557,SWMW50MFR-------------SFNL000200--,1.0,23.66,TIME
1935998,SWMW50MFR-------------SFNL000200--,2.0,24.17,TIME
1946212,SWMW50MFR-------------SFNL000200--,3.0,24.33,TIME
1572544,SWMW50MFR-------------SFNL000200--,4.0,24.47,TIME
1903557,SWMW50MFR-------------SFNL000200--,5.0,24.50,TIME
1967084,SWMW50MFR-------------SFNL000200--,6.0,24.72,TIME
1925728,SWMW50MFR-------------SFNL000200--,7.0,24.77,TIME
1893076,SWMW50MFR-------------SFNL000200--,8.0,24.98,TIME
1572557,SWMW50MFR-------------FNL-000100--,1.0,23.71,TIME
1946212,SWMW50MFR-------------FNL-000100--,2.0,23.97,TIME
